"nbcar","nb_rec","men","ind_srf","ind_age6","Revenue_personne","lon","lat"
3,107,45,2114673,78,6587.76635514019,5.41697530874307,43.2103047936824
4,58,29,963957,44,4154.98706896552,5.42187722604524,43.2105247457079
4,58,29,963957,44,4154.98706896552,5.44148522255332,43.2114022029188
4,58,29,963957,44,4154.98706896552,5.44393625886679,43.2115116205896
4,58,29,963957,44,4154.98706896552,5.43889435359946,43.2130941861951
1,18,13,321798,14,17877.6666666667,5.35296846251609,43.2110266672199
2,242,136,4894935,190,10113.5020661157,5.34547314406117,43.2124929952422
3,33,18,752293,27,7598.91919191919,5.34792408296836,43.2126047167761
3,33,18,752293,27,7598.91919191919,5.35282598574947,43.2128279835387
3,33,18,752293,27,7598.91919191919,5.35527694961478,43.2129395287667
2,55.5,32,1009498,49,9094.57657657658,5.33552646082695,43.2138468069653
2,55.5,32,1009498,49,9094.57657657658,5.34287942647862,43.2141825124012
2,242,136,4894935,190,10113.5020661157,5.34533043170165,43.2142942966741
1,48,22,1088686,35,22680.9583333333,5.34778144525372,43.2144060221769
2,79,42,1609590,58,10187.2784810127,5.34273662779461,43.2159838068748
2,79,42,1609590,58,10187.2784810127,5.34518770766754,43.2160955951189
1,24,14,585380,22,24390.8333333333,5.34504497195752,43.2178968905771
4,112,36,2314666,75,5166.66517857143,5.39897247172852,43.2203414488848
4,112,36,2314666,75,5166.66517857143,5.40387517006666,43.2205622707598
3,116,47,2861860,84,8223.73563218391,5.40632653157919,43.2206725935247
3,107,45,2114673,78,6587.76635514019,5.41599147808339,43.2229147035185
4,47.5,26,938343,38,4938.64736842105,5.34475946550448,43.2214994725352
4,112,36,2314666,75,5166.66517857143,5.39869025106611,43.2239442045702
4,112,36,2314666,75,5166.66517857143,5.4011417454973,43.2240546527476
3,107,45,2114673,78,6587.76635514019,5.41585088484571,43.2247161073015
3,42.5,31,554938,22,4352.45490196078,5.43056031968239,43.2253754455027
4,47.5,26,938343,38,4938.64736842105,5.34706808162622,43.2234125043883
2,171,77,3800546,130,11112.7076023392,5.39609756252578,43.2256350670557
2,171,77,3800546,130,11112.7076023392,5.3985491234158,43.2257455779456
1,86.5,31,1990381,62,23010.1849710983,5.40100069254511,43.225856030048
3,116,47,2861860,84,8223.73563218391,5.41080705136877,43.226297250577
3,116,47,2861860,84,8223.73563218391,5.41325866162969,43.2264074087375
